empleado_id,edad,departamento,cargo,antiguedad,salario,horas_extra,satisfaccion,evaluacion,distancia_km,desercion,desercion_label,rango_antiguedad
EMP-0105,35,Operaciones,Asistente,5,3257.0,0,1,3.9,39,1,Renunció,3-5 años
EMP-0106,48,RRHH,Analista,5,2548.0,0,2,4.1,50,0,Se quedó,3-5 años
EMP-0107,30,Finanzas,Asistente,2,3301.0,1,1,3.1,4,1,Renunció,0-2 años
EMP-0108,36,Operaciones,Analista,2,6647.0,0,4,2.8,5,0,Se quedó,0-2 años
EMP-0109,36,TI,Gerente,12,3363.0,0,1,4.3,4,0,Se quedó,11+ años
EMP-0110,47,Marketing,Supervisor,1,3608.0,0,3,4.3,36,0,Se quedó,0-2 años
EMP-0111,34,TI,Gerente,15,2317.0,0,3,3.4,59,0,Se quedó,11+ años
EMP-0112,53,Ventas,Coordinador,5,1500.0,0,1,3.8,45,0,Se quedó,3-5 años
EMP-0113,53,Finanzas,Coordinador,7,1500.0,1,4,3.1,16,0,Se quedó,6-10 años
EMP-0114,25,Operaciones,Coordinador,7,1983.0,1,1,4.1,25,1,Renunció,6-10 años
EMP-0115,51,TI,Gerente,5,1500.0,0,3,4.5,14,1,Renunció,3-5 años
EMP-0116,44,Finanzas,Asistente,13,2997.0,1,3,4.1,11,0,Se quedó,11+ años
EMP-0117,36,Ventas,Supervisor,2,2094.0,0,4,3.5,29,1,Renunció,0-2 años
EMP-0118,50,RRHH,Coordinador,9,1500.0,0,1,3.4,34,0,Se quedó,6-10 años
EMP-0119,57,Marketing,Coordinador,2,2572.0,1,3,3.9,22,1,Renunció,0-2 años
EMP-0120,34,Finanzas,Coordinador,11,1816.0,1,3,4.0,14,0,Se quedó,11+ años
EMP-0121,53,Finanzas,Supervisor,16,2923.0,1,1,3.7,56,1,Renunció,11+ años
EMP-0122,28,RRHH,Coordinador,4,3239.0,1,1,3.9,24,0,Se quedó,3-5 años
EMP-0123,43,Finanzas,Supervisor,19,1843.0,1,2,2.3,59,1,Renunció,11+ años
EMP-0124,49,Ventas,Coordinador,8,2220.0,1,4,4.9,39,1,Renunció,6-10 años
EMP-0125,23,Ventas,Gerente,19,2660.0,0,4,4.4,26,1,Renunció,11+ años
EMP-0126,27,RRHH,Gerente,6,1500.0,1,1,3.1,43,0,Se quedó,6-10 años
EMP-0127,49,Marketing,Supervisor,3,2660.0,1,4,3.7,36,1,Renunció,3-5 años
EMP-0128,49,Operaciones,Gerente,12,1500.0,1,3,2.1,39,0,Se quedó,11+ años
EMP-0129,41,TI,Supervisor,12,3060.0,0,1,2.1,16,1,Renunció,11+ años
EMP-0130,51,Operaciones,Gerente,9,2051.0,0,1,2.8,58,1,Renunció,6-10 años
EMP-0131,32,Finanzas,Gerente,17,1500.0,0,1,4.1,38,0,Se quedó,11+ años
EMP-0132,49,TI,Supervisor,16,1935.0,0,2,4.6,59,1,Renunció,11+ años
EMP-0133,46,RRHH,Asistente,19,1968.0,1,4,3.7,32,0,Se quedó,11+ años
EMP-0134,54,RRHH,Gerente,19,3742.0,0,2,3.6,6,0,Se quedó,11+ años
EMP-0135,22,Marketing,Coordinador,12,2616.0,0,3,3.2,34,0,Se quedó,11+ años
EMP-0136,48,TI,Asistente,16,1665.0,1,4,2.5,56,0,Se quedó,11+ años
EMP-0137,34,Ventas,Supervisor,3,4720.0,0,2,2.4,8,0,Se quedó,3-5 años
EMP-0138,24,TI,Asistente,0,3136.0,0,1,4.3,30,1,Renunció,
EMP-0139,27,Finanzas,Analista,0,2133.0,0,2,4.8,27,0,Se quedó,
EMP-0140,29,Ventas,Analista,14,1500.0,1,1,3.4,7,0,Se quedó,11+ años
EMP-0141,48,RRHH,Gerente,12,2059.0,0,2,4.0,27,0,Se quedó,11+ años
EMP-0142,30,TI,Gerente,16,2235.0,1,2,4.7,25,1,Renunció,11+ años
EMP-0143,54,Operaciones,Coordinador,7,2829.0,0,2,2.3,56,1,Renunció,6-10 años
EMP-0144,45,Marketing,Asistente,17,3112.0,0,1,4.3,46,0,Se quedó,11+ años
EMP-0145,36,Operaciones,Analista,12,3370.0,0,2,3.9,41,1,Renunció,11+ años
EMP-0146,53,Marketing,Gerente,13,1500.0,1,4,3.8,15,0,Se quedó,11+ años
EMP-0147,53,Finanzas,Asistente,7,2653.0,0,4,2.9,25,1,Renunció,6-10 años
EMP-0148,45,Operaciones,Gerente,7,2290.0,0,4,4.1,22,0,Se quedó,6-10 años
EMP-0149,33,TI,Gerente,14,7124.0,0,1,4.4,18,1,Renunció,11+ años
EMP-0150,23,TI,Analista,12,2505.0,1,1,2.3,12,0,Se quedó,11+ años
EMP-0151,24,Operaciones,Analista,6,1903.0,0,4,3.6,23,1,Renunció,6-10 años
EMP-0152,38,TI,Gerente,4,2551.0,1,4,2.3,51,0,Se quedó,3-5 años
EMP-0153,23,Finanzas,Supervisor,16,2432.0,1,4,4.6,45,0,Se quedó,11+ años
EMP-0154,23,Ventas,Gerente,15,1500.0,0,3,3.5,39,1,Renunció,11+ años
EMP-0155,49,Finanzas,Gerente,1,2874.0,0,4,4.4,25,0,Se quedó,0-2 años
EMP-0156,44,Marketing,Coordinador,17,2155.0,0,2,3.1,10,1,Renunció,11+ años
EMP-0157,53,Finanzas,Coordinador,16,2415.0,0,3,2.4,30,1,Renunció,11+ años
EMP-0158,54,Marketing,Coordinador,6,1721.0,0,3,2.1,10,0,Se quedó,6-10 años
EMP-0159,22,TI,Supervisor,12,1576.0,0,1,2.8,34,0,Se quedó,11+ años
EMP-0160,40,Ventas,Supervisor,17,3469.0,0,2,2.7,46,0,Se quedó,11+ años
EMP-0161,23,TI,Gerente,13,3802.0,0,1,3.7,13,1,Renunció,11+ años
EMP-0162,47,RRHH,Coordinador,17,2885.0,0,1,2.1,54,1,Renunció,11+ años
EMP-0163,53,TI,Supervisor,12,1500.0,0,2,3.6,29,0,Se quedó,11+ años
EMP-0164,27,Marketing,Analista,10,2961.0,1,1,3.2,38,1,Renunció,6-10 años
EMP-0165,53,TI,Gerente,15,1500.0,1,2,3.7,41,0,Se quedó,11+ años
EMP-0166,25,TI,Asistente,16,1873.0,1,2,4.1,45,0,Se quedó,11+ años
EMP-0167,32,Ventas,Gerente,7,3450.0,0,1,3.9,9,1,Renunció,6-10 años
EMP-0168,38,TI,Asistente,18,3175.0,0,4,5.0,13,0,Se quedó,11+ años
EMP-0169,45,Ventas,Coordinador,19,2930.0,0,1,2.4,37,0,Se quedó,11+ años
EMP-0170,26,Operaciones,Asistente,14,4126.0,0,3,3.3,14,0,Se quedó,11+ años
EMP-0171,55,RRHH,Coordinador,8,3053.0,0,1,3.3,37,1,Renunció,6-10 años
EMP-0172,27,Ventas,Analista,19,1500.0,1,2,3.3,9,1,Renunció,11+ años
EMP-0173,43,Marketing,Asistente,9,2105.0,0,3,4.0,8,0,Se quedó,6-10 años
EMP-0174,32,Operaciones,Gerente,11,2400.0,0,2,3.5,39,0,Se quedó,11+ años
EMP-0175,37,Ventas,Coordinador,19,2290.0,1,4,3.6,40,1,Renunció,11+ años
EMP-0176,54,Ventas,Gerente,0,1907.0,0,4,3.3,54,1,Renunció,
EMP-0177,30,RRHH,Supervisor,19,1616.0,0,3,5.0,3,0,Se quedó,11+ años
EMP-0178,27,Marketing,Coordinador,8,6376.0,0,4,4.8,55,0,Se quedó,6-10 años
EMP-0179,37,Finanzas,Asistente,14,2089.0,0,4,2.9,56,0,Se quedó,11+ años
EMP-0180,50,Finanzas,Coordinador,0,6252.0,1,1,2.3,47,0,Se quedó,
EMP-0181,24,Ventas,Gerente,11,1546.0,0,1,4.5,40,0,Se quedó,11+ años
EMP-0182,41,TI,Analista,2,3174.0,0,4,5.0,33,0,Se quedó,0-2 años
EMP-0183,57,Marketing,Coordinador,10,2675.0,1,4,2.9,32,0,Se quedó,6-10 años
EMP-0184,40,Operaciones,Asistente,1,1688.0,1,1,3.1,7,1,Renunció,0-2 años
EMP-0185,47,TI,Supervisor,15,2024.0,1,4,4.8,19,0,Se quedó,11+ años
EMP-0186,24,TI,Analista,8,2426.0,1,4,4.1,34,0,Se quedó,6-10 años
EMP-0187,40,Marketing,Supervisor,14,1741.0,0,2,2.9,14,0,Se quedó,11+ años
EMP-0188,41,Ventas,Coordinador,11,2203.0,0,4,3.7,50,0,Se quedó,11+ años
EMP-0189,53,Ventas,Gerente,0,1500.0,0,3,4.8,47,0,Se quedó,
EMP-0190,28,Ventas,Gerente,12,3244.0,0,2,4.4,46,0,Se quedó,11+ años
EMP-0191,54,Ventas,Asistente,13,3987.0,1,3,4.2,56,0,Se quedó,11+ años
EMP-0192,39,Finanzas,Gerente,7,2927.0,1,4,4.2,57,0,Se quedó,6-10 años
EMP-0193,22,Ventas,Analista,7,6037.0,0,1,2.5,19,0,Se quedó,6-10 años
EMP-0194,32,Finanzas,Gerente,11,3206.0,0,2,4.5,51,0,Se quedó,11+ años
EMP-0195,49,Finanzas,Asistente,0,3855.0,0,1,2.8,54,0,Se quedó,
EMP-0196,46,Ventas,Coordinador,10,4005.0,1,2,4.8,59,0,Se quedó,6-10 años
EMP-0197,44,RRHH,Coordinador,7,1500.0,0,1,3.1,26,0,Se quedó,6-10 años
EMP-0198,52,Operaciones,Gerente,9,2891.0,1,2,4.6,17,1,Renunció,6-10 años
EMP-0199,51,TI,Supervisor,18,1500.0,1,2,2.8,54,1,Renunció,11+ años
EMP-0200,56,Finanzas,Coordinador,10,1522.0,1,3,3.5,28,0,Se quedó,6-10 años
EMP-0201,28,Marketing,Gerente,6,1631.0,1,1,2.3,19,0,Se quedó,6-10 años
EMP-0202,37,Marketing,Asistente,10,2154.0,1,3,4.0,27,0,Se quedó,6-10 años
EMP-0203,47,Operaciones,Gerente,16,3166.0,0,3,4.5,48,0,Se quedó,11+ años
EMP-0204,23,Marketing,Coordinador,0,2903.0,0,1,4.2,52,1,Renunció,
EMP-0205,22,RRHH,Asistente,7,2428.0,0,2,3.6,57,0,Se quedó,6-10 años
EMP-0206,33,Marketing,Gerente,5,3259.0,0,3,2.1,19,1,Renunció,3-5 años
EMP-0207,26,TI,Analista,17,3339.0,1,1,4.8,33,0,Se quedó,11+ años
EMP-0208,53,TI,Asistente,5,2913.0,0,2,4.1,51,0,Se quedó,3-5 años
EMP-0209,30,Finanzas,Analista,4,1500.0,1,3,4.2,7,0,Se quedó,3-5 años
EMP-0210,56,Ventas,Supervisor,12,1816.0,0,3,4.4,29,1,Renunció,11+ años
EMP-0211,40,RRHH,Asistente,18,2466.0,0,3,4.2,55,1,Renunció,11+ años
EMP-0212,37,Finanzas,Analista,7,3273.0,1,2,3.3,43,0,Se quedó,6-10 años
EMP-0213,24,RRHH,Coordinador,8,1500.0,0,3,4.2,5,0,Se quedó,6-10 años
EMP-0214,41,Ventas,Coordinador,16,2430.0,0,2,3.9,30,0,Se quedó,11+ años
EMP-0215,45,Marketing,Supervisor,2,1500.0,0,4,4.6,49,1,Renunció,0-2 años
EMP-0216,54,Marketing,Asistente,18,3679.0,1,3,4.4,43,0,Se quedó,11+ años
EMP-0217,45,Ventas,Asistente,10,2689.0,0,4,2.1,56,0,Se quedó,6-10 años
EMP-0218,32,Finanzas,Asistente,16,1500.0,0,1,3.1,58,1,Renunció,11+ años
EMP-0219,29,Ventas,Supervisor,18,1500.0,0,3,2.1,8,0,Se quedó,11+ años
EMP-0220,57,Operaciones,Asistente,1,2850.0,1,1,2.3,42,1,Renunció,0-2 años
EMP-0221,41,TI,Coordinador,7,4230.0,1,1,3.8,12,0,Se quedó,6-10 años
EMP-0222,56,Finanzas,Analista,18,1574.0,0,1,4.6,42,0,Se quedó,11+ años
EMP-0223,46,RRHH,Coordinador,6,3343.0,0,4,2.4,13,0,Se quedó,6-10 años
EMP-0224,56,Operaciones,Coordinador,16,1965.0,1,2,3.4,26,0,Se quedó,11+ años
EMP-0225,46,Finanzas,Analista,5,3392.0,0,4,4.7,18,0,Se quedó,3-5 años
EMP-0226,50,Ventas,Coordinador,18,3208.0,0,4,4.4,42,0,Se quedó,11+ años
EMP-0227,39,Ventas,Supervisor,5,2597.0,0,1,3.6,51,0,Se quedó,3-5 años
EMP-0228,39,Ventas,Analista,1,1500.0,1,3,4.3,52,0,Se quedó,0-2 años
EMP-0229,23,Ventas,Coordinador,5,3205.0,0,2,3.6,49,0,Se quedó,3-5 años
EMP-0230,56,RRHH,Gerente,4,2983.0,0,1,2.5,20,1,Renunció,3-5 años
EMP-0231,37,Operaciones,Coordinador,18,2876.0,1,2,2.4,16,1,Renunció,11+ años
EMP-0232,57,Marketing,Supervisor,19,2639.0,1,4,2.6,37,1,Renunció,11+ años
EMP-0233,54,TI,Asistente,3,1717.0,0,2,3.1,3,1,Renunció,3-5 años
EMP-0234,25,RRHH,Coordinador,16,3764.0,0,2,4.8,27,0,Se quedó,11+ años
EMP-0235,54,RRHH,Asistente,10,3496.0,1,3,4.4,15,0,Se quedó,6-10 años
EMP-0236,35,Marketing,Gerente,3,1587.0,1,1,3.3,58,0,Se quedó,3-5 años
EMP-0237,42,Marketing,Coordinador,12,4129.0,1,2,3.5,34,0,Se quedó,11+ años
EMP-0238,41,TI,Analista,19,2573.0,0,2,2.8,45,0,Se quedó,11+ años
EMP-0239,29,TI,Asistente,16,2570.0,0,4,4.1,22,0,Se quedó,11+ años
EMP-0240,28,Marketing,Gerente,8,2274.0,1,4,4.4,40,0,Se quedó,6-10 años
EMP-0241,24,Ventas,Analista,3,2366.0,1,2,2.7,23,1,Renunció,3-5 años
EMP-0242,38,RRHH,Analista,13,4223.0,0,1,2.1,59,0,Se quedó,11+ años
EMP-0243,54,Finanzas,Analista,18,3689.0,0,2,3.9,49,0,Se quedó,11+ años
EMP-0244,33,TI,Analista,2,3658.0,1,2,3.7,4,0,Se quedó,0-2 años
EMP-0245,43,TI,Coordinador,13,2628.0,0,3,3.2,51,0,Se quedó,11+ años
EMP-0246,43,Marketing,Coordinador,7,3483.0,0,1,3.9,54,1,Renunció,6-10 años
EMP-0247,51,Operaciones,Coordinador,0,1748.0,0,3,3.7,57,0,Se quedó,
EMP-0248,29,Finanzas,Gerente,9,3082.0,0,1,2.8,41,1,Renunció,6-10 años
EMP-0249,48,Finanzas,Gerente,17,2295.0,0,1,3.2,23,0,Se quedó,11+ años
EMP-0250,48,TI,Gerente,15,1500.0,1,1,3.3,47,1,Renunció,11+ años
EMP-0251,55,Ventas,Supervisor,7,1500.0,0,3,4.6,9,0,Se quedó,6-10 años
EMP-0252,42,Operaciones,Gerente,0,1872.0,0,3,4.9,24,0,Se quedó,
EMP-0253,51,Finanzas,Coordinador,11,2881.0,0,3,4.7,21,0,Se quedó,11+ años
EMP-0254,54,TI,Coordinador,7,1873.0,0,4,4.2,41,0,Se quedó,6-10 años
EMP-0255,49,Finanzas,Supervisor,15,1927.0,0,3,3.8,46,0,Se quedó,11+ años
EMP-0256,54,Operaciones,Supervisor,17,3312.0,0,4,4.1,55,0,Se quedó,11+ años
EMP-0257,26,Operaciones,Gerente,3,1955.0,1,4,4.8,53,0,Se quedó,3-5 años
EMP-0258,40,RRHH,Asistente,5,4156.0,0,4,2.7,16,0,Se quedó,3-5 años
EMP-0259,25,Marketing,Supervisor,11,3890.0,0,2,3.6,56,0,Se quedó,11+ años
EMP-0260,56,Marketing,Analista,8,2462.0,0,2,4.1,55,1,Renunció,6-10 años
EMP-0261,38,TI,Coordinador,14,3299.0,0,2,4.0,25,0,Se quedó,11+ años
EMP-0262,49,Operaciones,Analista,15,3124.0,1,4,2.8,26,0,Se quedó,11+ años
EMP-0263,51,RRHH,Coordinador,11,2212.0,0,4,3.8,49,0,Se quedó,11+ años
EMP-0264,50,RRHH,Coordinador,13,3445.0,1,1,4.4,45,0,Se quedó,11+ años
EMP-0265,27,Finanzas,Supervisor,12,3654.0,0,4,3.4,9,0,Se quedó,11+ años
EMP-0266,56,Finanzas,Supervisor,1,1667.0,1,2,4.4,15,0,Se quedó,0-2 años
EMP-0267,45,RRHH,Analista,2,2595.0,0,4,3.1,39,0,Se quedó,0-2 años
EMP-0268,50,Finanzas,Coordinador,9,2584.0,1,4,4.8,33,1,Renunció,6-10 años
EMP-0269,52,Operaciones,Analista,8,3428.0,0,1,3.6,1,0,Se quedó,6-10 años
EMP-0270,56,Ventas,Asistente,19,2044.0,0,4,3.8,5,1,Renunció,11+ años
EMP-0271,54,Operaciones,Analista,7,1922.0,1,3,2.1,56,0,Se quedó,6-10 años
EMP-0272,42,RRHH,Gerente,9,2611.0,1,1,2.5,9,1,Renunció,6-10 años
EMP-0273,53,RRHH,Analista,18,3915.0,0,4,3.9,44,0,Se quedó,11+ años
EMP-0274,44,Operaciones,Gerente,2,1511.0,0,4,3.3,6,0,Se quedó,0-2 años
EMP-0275,54,Finanzas,Gerente,4,1620.0,0,1,3.5,28,1,Renunció,3-5 años
EMP-0276,24,Finanzas,Gerente,2,1982.0,1,4,2.2,45,0,Se quedó,0-2 años
EMP-0277,39,Marketing,Asistente,15,2128.0,0,2,4.5,26,1,Renunció,11+ años
EMP-0278,46,RRHH,Analista,16,1500.0,0,3,4.4,28,0,Se quedó,11+ años
EMP-0279,52,TI,Analista,14,4444.0,1,3,2.6,40,0,Se quedó,11+ años
EMP-0280,24,Marketing,Asistente,2,2317.0,1,2,3.9,15,1,Renunció,0-2 años
EMP-0281,45,Finanzas,Coordinador,11,2182.0,1,4,4.5,6,1,Renunció,11+ años
